temperatura,vibracao,corrente_eletrica,rotacao,carga_maquina,tempo_operacao_horas,turno,tipo_equipamento,historico_manutencao,dias_desde_ultima_manutencao,falha_ocorrida,tempo_ate_falha_horas
80.73,3.267,33.3,1510.0,91.6,559.8,manha,esteira,4,61.5,1,23.3
74.07,2.432,30.88,2012.0,60.27,4591.7,tarde,compressor,0,13.0,0,584.1
89.98,3.059,31.25,1029.0,68.86,3250.5,noite,esteira,2,168.2,0,240.0
73.2,3.094,35.95,2472.0,64.41,2773.4,manha,bomba,1,115.2,0,398.3
81.16,2.974,30.96,2574.0,69.5,3436.0,manha,CNC,0,34.4,0,357.5
81.47,2.254,32.69,1222.0,75.23,590.1,tarde,prensa,3,30.5,0,468.0
77.25,2.791,30.67,1481.0,64.28,2102.7,noite,esteira,1,97.4,0,653.9
76.09,3.325,36.69,1393.0,85.0,1566.4,tarde,esteira,1,71.7,0,498.3
87.3,2.352,32.53,2706.0,61.92,2643.9,tarde,CNC,1,65.5,0,269.3
76.03,2.866,26.24,1989.0,57.04,2701.7,tarde,compressor,2,7.1,0,693.9
72.82,2.769,30.91,1870.0,51.69,3350.0,manha,compressor,4,39.3,0,503.1
66.0,2.613,24.67,1229.0,37.89,3652.3,tarde,prensa,1,62.6,0,697.0
70.59,2.99,27.95,2351.0,77.74,615.3,manha,bomba,3,22.7,0,652.3
82.12,2.278,34.47,1269.0,82.09,2121.0,noite,esteira,2,15.7,0,619.8
82.69,2.904,35.37,1919.0,93.0,2429.5,manha,compressor,1,24.0,1,74.2
82.05,3.629,38.05,2658.0,86.18,995.4,manha,CNC,1,76.0,0,391.7
65.69,1.705,26.0,2456.0,40.76,919.4,tarde,bomba,0,9.8,0,757.9
80.81,1.982,35.61,2851.0,75.85,562.6,tarde,CNC,2,21.9,0,891.5
75.43,2.244,32.35,1677.0,62.07,823.7,tarde,esteira,5,58.9,0,524.1
76.0,2.451,26.27,2432.0,47.42,3970.2,tarde,bomba,3,77.9,0,410.0
78.75,2.498,32.28,1441.0,70.01,702.9,noite,esteira,0,45.3,0,467.5
71.26,2.263,30.69,2028.0,52.63,800.6,noite,compressor,1,24.9,0,753.6
76.37,3.864,34.12,1280.0,76.99,2577.1,noite,prensa,4,39.8,0,240.0
78.26,2.479,29.91,1354.0,66.51,3107.5,tarde,prensa,4,54.1,0,285.6
